file_id,chunk_id,sentence_chunk,chunk_char_count,chunk_word_count,chunk_token_count,num_sentences
현진건-B사감과_러브레터,0,"B사감과 러브 레터

 C 여학교에서 교원 겸 기숙사 사감 노릇을 하는 B 여사라면 딱장대요 독신
주의자요, 찰진 야소꾼으로 유명하다. 사십에 가까운 노처녀인 그는 주근깨
투성이 얼굴이, 처녀다운 맛이란 약에 쓰려도 찾을 수 없을 뿐인가, 시들고
거칠고 마르고 누렇게 뜬 품이 곰팡 슬은 굴비를 생각나게 한다.",173,45,113,2
현진건-B사감과_러브레터,1,"사십에 가까운 노처녀인 그는 주근깨
투성이 얼굴이, 처녀다운 맛이란 약에 쓰려도 찾을 수 없을 뿐인가, 시들고
거칠고 마르고 누렇게 뜬 품이 곰팡 슬은 굴비를 생각나게 한다. 뾰족한 입을 앙다물고 돋보기 너머로 쌀쌀한 눈이 노릴 때엔 기숙생들이 오
싹하고 몸서리를 치리만큼 그는 엄격하고 매서웠다.",166,43,114,2
현진건-B사감과_러브레터,2,"뾰족한 입을 앙다물고 돋보기 너머로 쌀쌀한 눈이 노릴 때엔 기숙생들이 오
싹하고 몸서리를 치리만큼 그는 엄격하고 매서웠다. 여학교 기숙사라면 의례히 그런 편지가 많이 오는 것이지만 학교로도
유명하고 또 아름다운 여학생이 많은 탓인지 모르되 하로에도 몇 장씩 죽느
니 사느니 하는 사랑 타령이 날아들어 왔었다.",172,44,108,2
현진건-B사감과_러브레터,3,"여학교 기숙사라면 의례히 그런 편지가 많이 오는 것이지만 학교로도
유명하고 또 아름다운 여학생이 많은 탓인지 모르되 하로에도 몇 장씩 죽느
니 사느니 하는 사랑 타령이 날아들어 왔었다. 달
착지근한 사연을 보는 족족 그는 더할 수 없이 흥분되어서 얼굴이 붉으락푸
르락 편지든 손이 발발 떨리도록 성을 낸다. 아모 까닭 없이 그런 편지를 받은 학생이야말로 큰 재변이었다.",206,55,127,3
현진건-B사감과_러브레터,4,"아모 까닭 없이 그런 편지를 받은 학생이야말로 큰 재변이었다. 분해서 못견디겠다는 사람
모양으로 쌔근쌔근하며 방안을 왔다 갔다 하던 그는, 들어오는 학생을 잡아
먹을 듯이 노리면서 한 걸음 두 걸음 코가 맞닿을 만큼 바싹 다가들어서 딱
마주선다.",137,36,84,2
현진건-B사감과_러브레터,5,"분해서 못견디겠다는 사람
모양으로 쌔근쌔근하며 방안을 왔다 갔다 하던 그는, 들어오는 학생을 잡아
먹을 듯이 노리면서 한 걸음 두 걸음 코가 맞닿을 만큼 바싹 다가들어서 딱
마주선다. “그래, 불렀다.",112,29,71,2
현진건-B사감과_러브레터,6,"“그래, 불렀다. 스승과 제자는 조그마한 책상 하나를 새에 두고 마주 앉는다. 앉은 뒤에
도,
  “네 죄상을 네가 알지!”
 하는 것처럼 아모 말 없이 눈살로 쏘기만 하다가 한참 만에야 그 편지를 끄
집어내어 학생의 코앞에 동댕이를 치며,
  “이건 누구한테 오는 거냐?”
 하고 문초를 시작한다. 앞장에 제 이름이 쓰였는지라,
  “저한테 온 것이야요.",199,50,122,4
현진건-B사감과_러브레터,7,"앞장에 제 이름이 쓰였는지라,
  “저한테 온 것이야요. 그러면 발신인이 누구인 것을 채쳐 묻는다.",55,13,33,2
현진건-B사감과_러브레터,8,"그러면 발신인이 누구인 것을 채쳐 묻는다. 기실 보도 듣도 못한 남성의 한 노릇
이요 자기에게는 아모 죄도 없는 것을 변명변명하여도 곧이듣지를 않는다.",84,22,48,2
현진건-B사감과_러브레터,9,"기실 보도 듣도 못한 남성의 한 노릇
이요 자기에게는 아모 죄도 없는 것을 변명변명하여도 곧이듣지를 않는다.",60,16,36,1
현진건-B사감과_러브레터,10,"기실 보도 듣도 못한 남성의 한 노릇
이요 자기에게는 아모 죄도 없는 것을 변명변명하여도 곧이듣지를 않는다. 두 시간이 넘도록 문초를 한 끝에는 사내란 믿지 못할 것, 우리 여성을 잡
아먹으려는 마귀인 것, 연애가 자유이니 신성이니 하는 것도 모두 악마의
지어낸 소리인 것을 입에 침이 없이 열에 띠어서 한참 설법을 하다가 닦지
도 않은 방바닥(침대를 쓰기 때문에 방이라 해도 마룻바닥이다.",218,59,125,2
현진건-B사감과_러브레터,11,"두 시간이 넘도록 문초를 한 끝에는 사내란 믿지 못할 것, 우리 여성을 잡
아먹으려는 마귀인 것, 연애가 자유이니 신성이니 하는 것도 모두 악마의
지어낸 소리인 것을 입에 침이 없이 열에 띠어서 한참 설법을 하다가 닦지
도 않은 방바닥(침대를 쓰기 때문에 방이라 해도 마룻바닥이다.",157,43,91,1
현진건-B사감과_러브레터,12,"두 시간이 넘도록 문초를 한 끝에는 사내란 믿지 못할 것, 우리 여성을 잡
아먹으려는 마귀인 것, 연애가 자유이니 신성이니 하는 것도 모두 악마의
지어낸 소리인 것을 입에 침이 없이 열에 띠어서 한참 설법을 하다가 닦지
도 않은 방바닥(침대를 쓰기 때문에 방이라 해도 마룻바닥이다. 그리고 둘째로 그의 싫어하는 것은 기숙생을 남자가 면회하러 오는 일이었
다.",200,54,113,2
현진건-B사감과_러브레터,13,"그리고 둘째로 그의 싫어하는 것은 기숙생을 남자가 면회하러 오는 일이었
다. 친부모, 친동기간이라
도 규칙이 어떠니 상학 중이니 무슨 핑계를 하든지 따돌려 보내기가 일쑤
다. 이로 말미암아 학생이 동맹 휴학을 하였고 교장의 설유까지 들었건만 그래
도 그 버릇은 곤치려 들지 않았다. 이 B 사감이 감독하는 그 기숙사에 금년 가을 들어서 괴상한 일이 생겼다.",199,53,124,4
현진건-B사감과_러브레터,14,"이 B 사감이 감독하는 그 기숙사에 금년 가을 들어서 괴상한 일이 생겼다. 왜 그런고 하면 그 괴상한 일이 언제  ‘시작된’  것은 귀신밖에
모르니까. 그것은 다른 일이 아니라 밤이 깊어서 새로 한 점이 되고 두 점이 되어 모
든 기숙생들이 달고 곤한 잠에 떨어졌을 제 난데없는 깔깔대는 웃음과 속살
속살하는 말낱이 새어 흐르는 일이었다.",189,53,112,3
현진건-B사감과_러브레터,15,"그것은 다른 일이 아니라 밤이 깊어서 새로 한 점이 되고 두 점이 되어 모
든 기숙생들이 달고 곤한 잠에 떨어졌을 제 난데없는 깔깔대는 웃음과 속살
속살하는 말낱이 새어 흐르는 일이었다.",104,30,65,1
현진건-B사감과_러브레터,16,"그것은 다른 일이 아니라 밤이 깊어서 새로 한 점이 되고 두 점이 되어 모
든 기숙생들이 달고 곤한 잠에 떨어졌을 제 난데없는 깔깔대는 웃음과 속살
속살하는 말낱이 새어 흐르는 일이었다. 그러나 이 수수께끼가 풀릴 때는 왔다. 어째 공교롭게 한방에 자던 학생
셋이 한꺼번에 잠을 깨었다.",160,45,104,3
현진건-B사감과_러브레터,17,"어째 공교롭게 한방에 자던 학생
셋이 한꺼번에 잠을 깨었다. “저 소리를 들어 보아요. 아닌 밤중에 저게 무슨 소리야?”
하고, 첫째 처녀는 호동그래진 눈에 무서워하는 빛을 띤다. “어젯밤에 나도 저 소리에 놀랬어. 도깨비가 났단 말인가?”
하고 둘째 처녀도 잠 오는 눈을 비비며 수상해 한다.",164,43,107,5
현진건-B사감과_러브레터,18,"도깨비가 났단 말인가?”
하고 둘째 처녀도 잠 오는 눈을 비비며 수상해 한다. 나도 언젠가 한 번 들어본 법도 하구먼. 뭘 잠 아니 오
는 애들이 이야기를 하는 게지. ”
 이 때에 그 괴상한 소리는 땍때굴 웃었다. 세 처녀는 으쓱하며 귀를 소스
라쳤다. 적적한 밤 가운데 다른 파동 없는 공기는 그 수상한 말낱을 곁에서
나 나는 듯이 또렷또렷이 전해 주었다.",201,59,124,6
현진건-B사감과_러브레터,19,"적적한 밤 가운데 다른 파동 없는 공기는 그 수상한 말낱을 곁에서
나 나는 듯이 또렷또렷이 전해 주었다. “경숙씨가 좋으시다면 내야 얼마나 기쁘겠습니까? 아아, 오즉 경숙 씨에
게 바친 나의 타는 듯한 가슴을 인제야 아셨습니까?”
 정열에 띤 사내의 목청이 분명하다. 한동안 침묵……. “인제 고만 놓아요.",171,44,108,4
현진건-B사감과_러브레터,20,"“인제 고만 놓아요. “길수록 더욱 좋지 않아요? 나는 내 목숨이 끊어질 때까지 키스를 하여도
길다고는 못하겠습니다. 그래도 짧은 것을 한하겠습니다. ”
 사내의 피를 뿜은 듯한 이 말 끝은 계집의 자지러진 웃음으로 묻혀 버렸
다. 그것은 묻지 않아도 사랑에 겨운 남녀의 흐무러진 수작이다.",162,42,100,5
현진건-B사감과_러브레터,21,"그것은 묻지 않아도 사랑에 겨운 남녀의 흐무러진 수작이다. 그
들의 얼굴은 놀랍고 무서운 빛이 없지 않았으되 점점 호기심에 번쩍이기 시
작하였다. 그들의 머리 속에는 한결같이  ‘로맨틱’  한 생각이 떠올랐다. 이
안에 있는 여자 애인을 보려고 학교 근처를 뒤돌고 곰돌던 사내 애인이 타
는 듯한 가슴을 걷잡다 못하여 밤이 이슥하기를 기다려 담을 뛰어 넘은지
모르리라.",206,54,126,4
현진건-B사감과_러브레터,22,"이
안에 있는 여자 애인을 보려고 학교 근처를 뒤돌고 곰돌던 사내 애인이 타
는 듯한 가슴을 걷잡다 못하여 밤이 이슥하기를 기다려 담을 뛰어 넘은지
모르리라. 활동사진에 보는 것처럼 기나긴 피륙을 나리어서 하나는 위에서 당
기고 하나는 밑에 매달려 디룽디룽하면서 올라가는 정경이 있었는지 모르리
라. 그래서 두 애인은 만나 가지고 저와 같이 사랑의 속살거림에 잦아졌는
지 모르리라…….",215,56,126,3
현진건-B사감과_러브레터,23,"그래서 두 애인은 만나 가지고 저와 같이 사랑의 속살거림에 잦아졌는
지 모르리라……. 그들의 뺨은 후끈후끈 달았
다. 괴상한 소리는 또 일어났다. “난 싫어요, 난 싫어요, 당신 같은 사내는 난 싫어요. ”
 이번에는 매몰스럽게 내어대는 모양. “나의 천사, 나의 하늘, 나의 여왕, 나의 목숨, 나의 사랑, 나를 살려 주
어요, 나를 구해 주어요.",195,52,113,6
현진건-B사감과_러브레터,24,"“나의 천사, 나의 하늘, 나의 여왕, 나의 목숨, 나의 사랑, 나를 살려 주
어요, 나를 구해 주어요. “우리 구경 가 볼까?”
 짓궂은 셋째 처녀는 몸을 일으키며 이런 제의를 하였다. 다른 처녀들도 그
말에 찬성한다는 듯이 따라 일어섰으되 의아와 공구와 호기심이 뒤섞인 얼
굴을 서로 교환하면서 얼마쯤 망설이다가 마츰내 가만히 문을 열고 나왔다.",195,52,123,3
현진건-B사감과_러브레터,25,"다른 처녀들도 그
말에 찬성한다는 듯이 따라 일어섰으되 의아와 공구와 호기심이 뒤섞인 얼
굴을 서로 교환하면서 얼마쯤 망설이다가 마츰내 가만히 문을 열고 나왔다. 컴컴한 복도에 자다가 일어난 세 처녀의 흰 모양은 그림자
처럼 소리 없이 움직였다. 소리 나는 방을 어렵지 않게 찾을 수 있었다. 찾고는 나무로 깎아 세운 듯
이 주춤 걸음을 멈출 만큼 그들은 놀래었다.",204,56,126,4
현진건-B사감과_러브레터,26,"찾고는 나무로 깎아 세운 듯
이 주춤 걸음을 멈출 만큼 그들은 놀래었다. ―
  “나의 천사, 나의 하늘, 나의 여왕, 나의 목숨, 나의 사랑, 나의 애를 말
려죽이실 테요? 나의 가슴을 뜯어 죽이실 테요? 내 생명을 맡으신 당신의
입술로……”
 셋째 처녀는 대담스럽게 그 방문을 빠끔히 열었다. 그 틈으로 여섯 눈이
방안을 향해 쏘았다.",189,52,121,3
현진건-B사감과_러브레터,27,"그 틈으로 여섯 눈이
방안을 향해 쏘았다. 누구를 끌어당길 듯이 두 팔을 벌이고 안경
벗은 근시안으로 잔뜩 한 곳을 노리며 그 굴비쪽 같은 얼굴에 말할 수 없이
애원하는 표정을 짓고는  ‘키스’  를 기다리는 것같이 입을 쭝굿이 내어민
채 사내의 목청을 내어가면서 아깟말을 중얼거린다.",159,43,106,2
현진건-B사감과_러브레터,28,"누구를 끌어당길 듯이 두 팔을 벌이고 안경
벗은 근시안으로 잔뜩 한 곳을 노리며 그 굴비쪽 같은 얼굴에 말할 수 없이
애원하는 표정을 짓고는  ‘키스’  를 기다리는 것같이 입을 쭝굿이 내어민
채 사내의 목청을 내어가면서 아깟말을 중얼거린다. 당신 같은 사내는 난 싫어요. ”
하다가 제물에 자지러지게 웃는다.",173,46,111,3
현진건-B사감과_러브레터,29,"”
하다가 제물에 자지러지게 웃는다. ”
하고 몸을 추스르는데 그 음성은 분명히 울음의 가락을 띠었다. “에그머니, 저게 웬일이야?”
 첫째 처녀가 소곤거렸다. “아마 미쳤나 보아. 밤중에 혼자 일어나서 왜 저러고 있을꾸?”
 둘째처녀가 맞방망이를 친다. “에그 불쌍해!”
하고 셋째 처녀는 손으로 고인 때 모르는 눈물을 씻었다…….",186,44,122,6
현진건-B사감과_러브레터,30,"“에그 불쌍해!”
하고 셋째 처녀는 손으로 고인 때 모르는 눈물을 씻었다……. 2. ).",49,13,31,3
